run_id,case_id,base_case_id,phase,symbol,timeframe,direction,volume,open_time,close_time,duration_minutes,open_price,close_price,sl,tp,profit,commission,swap,total_profit,exit_reason,magic_number,entry_comment,exit_comment,open_deal,close_deal
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,train,EURUSD,H1,buy,0.03,2023-01-03 06:00:00,2023-01-03 09:48:26,228.43,1.06733,1.06419,1.06733,2.0,-9.42,0.0,0.0,-9.42,SL,,FAT Trend Buy,sl 1.06419,2,3
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,train,EURUSD,H1,sell,0.03,2023-01-04 07:00:00,2023-01-04 09:44:18,164.3,1.05721,1.05996,1.05721,4.0,-8.25,0.0,0.0,-8.25,SL,,FAT Trend Sell,sl 1.05995,4,5
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,train,EURUSD,H1,sell,0.03,2023-01-04 10:00:00,2023-01-04 10:13:26,13.43,1.0593,1.06205,1.0593,6.0,-8.25,0.0,0.0,-8.25,SL,,FAT Trend Sell,sl 1.06205,6,7
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,train,EURUSD,H1,sell,0.02,2023-01-04 21:00:00,2023-01-05 17:08:30,1208.5,1.05979,1.05511,1.05979,8.0,9.36,0.0,0.12,9.48,SL,,FAT Trend Sell,sl 1.05509,8,9
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,train,EURUSD,H1,sell,0.02,2023-01-06 16:00:00,2023-01-06 17:00:12,60.2,1.05416,1.05193,1.05416,10.0,4.46,0.0,0.0,4.46,SL,,FAT Trend Sell,sl 1.05193,10,11
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,train,EURUSD,H1,buy,0.01,2023-01-06 19:00:00,2023-01-09 09:28:29,3748.48,1.06196,1.06816,1.06196,12.0,6.2,0.0,-0.08,6.12,SL,,FAT Breakout Buy,sl 1.06816,12,13
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,train,EURUSD,H1,buy,0.03,2023-01-10 10:00:00,2023-01-10 10:52:21,52.35,1.07325,1.07326,1.07325,14.0,0.03,0.0,0.0,0.03,SL,,FAT Trend Buy,sl 1.07326,14,15
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,train,EURUSD,H1,buy,0.03,2023-01-10 15:00:00,2023-01-10 16:39:42,99.7,1.072,1.07434,1.072,16.0,7.02,0.0,0.0,7.02,SL,,FAT Trend Buy,sl 1.07436,16,17
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,train,EURUSD,H1,buy,0.02,2023-01-10 17:00:00,2023-01-11 09:00:05,960.08,1.07412,1.07436,1.07412,18.0,0.48,0.0,-0.17,0.31,SL,,FAT Trend Buy,sl 1.07436,18,19
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,train,EURUSD,H1,buy,0.03,2023-01-12 09:00:00,2023-01-12 12:00:38,180.63,1.07578,1.07617,1.07578,20.0,1.17,0.0,0.0,1.17,SL,,FAT Trend Buy,sl 1.07617,20,21
