batch_id,group_type,group_key,gap_count,earliest_affected_timestamp,latest_affected_timestamp,calendar_years,source_files,gap_ids,requested_primary_evidence_types,priority,proposed_remediation_status
CAP-SOURCE_YEAR_FILE-001,SOURCE_YEAR_FILE,2020|GOLD#_H1_202001020900_202012311800.csv|GOLD#_H1_202001020900_202012311800.csv,208,2020-01-02T23:00:00,2020-12-31T01:00:00,2020,GOLD#_H1_202001020900_202012311800.csv,GQ0001|GQ0003|GQ0004|GQ0005|GQ0006|GQ0008|GQ0009|GQ0010|GQ0011|GQ0013|GQ0014|GQ0015|GQ0016|GQ0018|GQ0019|GQ0020|GQ0021|GQ0023|GQ0024|GQ0025|GQ0026|GQ0028|GQ0029|GQ0030|GQ0031|GQ0033|GQ0034|GQ0035|GQ0036|GQ0038|GQ0039|GQ0040|GQ0041|GQ0043|GQ0044|GQ0045|GQ0046|GQ0048|GQ0049|GQ0050|GQ0051|GQ0053|GQ0054|GQ0055|GQ0056|GQ0058|GQ0059|GQ0060|GQ0061|GQ0063|GQ0064|GQ0065|GQ0066|GQ0068|GQ0069|GQ0070|GQ0071|GQ0072|GQ0073|GQ0074|GQ0075|GQ0077|GQ0078|GQ0079|GQ0080|GQ0082|GQ0083|GQ0084|GQ0085|GQ0087|GQ0088|GQ0089|GQ0090|GQ0092|GQ0093|GQ0094|GQ0095|GQ0097|GQ0098|GQ0099|GQ0100|GQ0102|GQ0103|GQ0104|GQ0105|GQ0107|GQ0108|GQ0109|GQ0110|GQ0112|GQ0113|GQ0114|GQ0115|GQ0117|GQ0118|GQ0119|GQ0120|GQ0122|GQ0123|GQ0124|GQ0125|GQ0127|GQ0128|GQ0129|GQ0130|GQ0132|GQ0133|GQ0134|GQ0135|GQ0137|GQ0138|GQ0139|GQ0140|GQ0142|GQ0143|GQ0144|GQ0145|GQ0147|GQ0148|GQ0149|GQ0150|GQ0152|GQ0153|GQ0154|GQ0155|GQ0157|GQ0158|GQ0159|GQ0160|GQ0162|GQ0163|GQ0164|GQ0165|GQ0167|GQ0168|GQ0169|GQ0170|GQ0172|GQ0173|GQ0174|GQ0175|GQ0177|GQ0178|GQ0179|GQ0180|GQ0182|GQ0183|GQ0184|GQ0185|GQ0187|GQ0188|GQ0189|GQ0190|GQ0192|GQ0193|GQ0194|GQ0195|GQ0197|GQ0198|GQ0199|GQ0200|GQ0202|GQ0203|GQ0204|GQ0205|GQ0207|GQ0208|GQ0209|GQ0210|GQ0212|GQ0213|GQ0214|GQ0215|GQ0217|GQ0218|GQ0219|GQ0220|GQ0222|GQ0223|GQ0224|GQ0225|GQ0227|GQ0228|GQ0229|GQ0230|GQ0232|GQ0233|GQ0234|GQ0235|GQ0237|GQ0238|GQ0239|GQ0240|GQ0242|GQ0243|GQ0244|GQ0245|GQ0247|GQ0248|GQ0249|GQ0250|GQ0252|GQ0253|GQ0254|GQ0255|GQ0256|GQ0257|GQ0258,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,
CAP-SOURCE_YEAR_FILE-002,SOURCE_YEAR_FILE,2020|GOLD#_H1_202001020900_202012311800.csv|GOLD#_H1_202101040100_202112311800.csv,1,2020-12-31T18:00:00,2021-01-04T01:00:00,2020,GOLD#_H1_202001020900_202012311800.csv|GOLD#_H1_202101040100_202112311800.csv,GQ0259,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,
CAP-SOURCE_YEAR_FILE-003,SOURCE_YEAR_FILE,2021|GOLD#_H1_202101040100_202112311800.csv|GOLD#_H1_202101040100_202112311800.csv,208,2021-01-04T23:00:00,2021-12-31T01:00:00,2021,GOLD#_H1_202101040100_202112311800.csv,GQ0260|GQ0261|GQ0262|GQ0263|GQ0265|GQ0266|GQ0267|GQ0268|GQ0270|GQ0271|GQ0272|GQ0273|GQ0275|GQ0276|GQ0277|GQ0278|GQ0280|GQ0281|GQ0282|GQ0283|GQ0285|GQ0286|GQ0287|GQ0288|GQ0290|GQ0291|GQ0292|GQ0293|GQ0295|GQ0296|GQ0297|GQ0298|GQ0300|GQ0301|GQ0302|GQ0303|GQ0305|GQ0306|GQ0307|GQ0308|GQ0310|GQ0311|GQ0312|GQ0313|GQ0315|GQ0316|GQ0317|GQ0318|GQ0320|GQ0321|GQ0322|GQ0323|GQ0324|GQ0325|GQ0326|GQ0327|GQ0329|GQ0330|GQ0331|GQ0332|GQ0334|GQ0335|GQ0336|GQ0337|GQ0339|GQ0340|GQ0341|GQ0342|GQ0344|GQ0345|GQ0346|GQ0347|GQ0349|GQ0350|GQ0351|GQ0352|GQ0354|GQ0355|GQ0356|GQ0357|GQ0359|GQ0360|GQ0361|GQ0362|GQ0364|GQ0365|GQ0366|GQ0367|GQ0369|GQ0370|GQ0371|GQ0372|GQ0374|GQ0375|GQ0376|GQ0377|GQ0379|GQ0380|GQ0381|GQ0382|GQ0384|GQ0385|GQ0386|GQ0387|GQ0389|GQ0390|GQ0391|GQ0392|GQ0394|GQ0395|GQ0396|GQ0397|GQ0399|GQ0400|GQ0401|GQ0402|GQ0404|GQ0405|GQ0406|GQ0407|GQ0409|GQ0410|GQ0411|GQ0412|GQ0414|GQ0415|GQ0416|GQ0417|GQ0419|GQ0420|GQ0421|GQ0422|GQ0424|GQ0425|GQ0426|GQ0427|GQ0429|GQ0430|GQ0431|GQ0432|GQ0434|GQ0435|GQ0436|GQ0437|GQ0439|GQ0440|GQ0441|GQ0442|GQ0444|GQ0445|GQ0446|GQ0447|GQ0449|GQ0450|GQ0451|GQ0452|GQ0454|GQ0455|GQ0456|GQ0457|GQ0459|GQ0460|GQ0461|GQ0462|GQ0464|GQ0465|GQ0466|GQ0467|GQ0469|GQ0470|GQ0471|GQ0472|GQ0474|GQ0475|GQ0476|GQ0477|GQ0479|GQ0480|GQ0481|GQ0482|GQ0484|GQ0485|GQ0486|GQ0487|GQ0489|GQ0490|GQ0491|GQ0492|GQ0494|GQ0495|GQ0496|GQ0497|GQ0499|GQ0500|GQ0501|GQ0502|GQ0504|GQ0505|GQ0506|GQ0507|GQ0509|GQ0510|GQ0511|GQ0512|GQ0513|GQ0514|GQ0515|GQ0516,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,
CAP-SOURCE_YEAR_FILE-004,SOURCE_YEAR_FILE,2022|GOLD#_H1_202201030100_202212302300.csv|GOLD#_H1_202201030100_202212302300.csv,208,2022-01-03T23:00:00,2022-12-30T01:00:00,2022,GOLD#_H1_202201030100_202212302300.csv,GQ0518|GQ0519|GQ0520|GQ0521|GQ0523|GQ0524|GQ0525|GQ0526|GQ0528|GQ0529|GQ0530|GQ0531|GQ0533|GQ0534|GQ0535|GQ0536|GQ0538|GQ0539|GQ0540|GQ0541|GQ0543|GQ0544|GQ0545|GQ0546|GQ0548|GQ0549|GQ0550|GQ0551|GQ0553|GQ0554|GQ0555|GQ0556|GQ0558|GQ0559|GQ0560|GQ0561|GQ0563|GQ0564|GQ0565|GQ0566|GQ0568|GQ0569|GQ0570|GQ0571|GQ0573|GQ0574|GQ0575|GQ0576|GQ0578|GQ0579|GQ0580|GQ0581|GQ0583|GQ0584|GQ0585|GQ0586|GQ0588|GQ0589|GQ0590|GQ0591|GQ0592|GQ0593|GQ0594|GQ0595|GQ0597|GQ0598|GQ0599|GQ0600|GQ0602|GQ0603|GQ0604|GQ0605|GQ0607|GQ0608|GQ0609|GQ0610|GQ0612|GQ0613|GQ0614|GQ0615|GQ0617|GQ0618|GQ0619|GQ0620|GQ0622|GQ0623|GQ0624|GQ0625|GQ0627|GQ0628|GQ0629|GQ0630|GQ0632|GQ0633|GQ0634|GQ0635|GQ0637|GQ0638|GQ0639|GQ0640|GQ0642|GQ0643|GQ0644|GQ0645|GQ0647|GQ0648|GQ0649|GQ0650|GQ0652|GQ0653|GQ0654|GQ0655|GQ0657|GQ0658|GQ0659|GQ0660|GQ0662|GQ0663|GQ0664|GQ0665|GQ0667|GQ0668|GQ0669|GQ0670|GQ0672|GQ0673|GQ0674|GQ0675|GQ0677|GQ0678|GQ0679|GQ0680|GQ0682|GQ0683|GQ0684|GQ0685|GQ0687|GQ0688|GQ0689|GQ0690|GQ0692|GQ0693|GQ0694|GQ0695|GQ0697|GQ0698|GQ0699|GQ0700|GQ0702|GQ0703|GQ0704|GQ0705|GQ0707|GQ0708|GQ0709|GQ0710|GQ0712|GQ0713|GQ0714|GQ0715|GQ0717|GQ0718|GQ0719|GQ0720|GQ0722|GQ0723|GQ0724|GQ0725|GQ0727|GQ0728|GQ0729|GQ0730|GQ0732|GQ0733|GQ0734|GQ0735|GQ0737|GQ0738|GQ0739|GQ0740|GQ0742|GQ0743|GQ0744|GQ0745|GQ0747|GQ0748|GQ0749|GQ0750|GQ0752|GQ0753|GQ0754|GQ0755|GQ0757|GQ0758|GQ0759|GQ0760|GQ0762|GQ0763|GQ0764|GQ0765|GQ0767|GQ0768|GQ0769|GQ0770|GQ0771|GQ0772|GQ0773|GQ0774,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,
CAP-STRUCTURAL_SIGNATURE-005,STRUCTURAL_SIGNATURE,054e26265c9ed843b5dae04cb4406a17010643a5208f0609477372466b290588,6,2022-01-17T21:00:00,2022-09-06T01:00:00,2022,GOLD#_H1_202201030100_202212302300.csv,GQ0528|GQ0553|GQ0622|GQ0637|GQ0647|GQ0692,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,
CAP-STRUCTURAL_SIGNATURE-006,STRUCTURAL_SIGNATURE,0c4ae8b6b18ad2ba36a3e86d19e25632ad975aa9d4648a3cf8512cf3b2129686,1,2022-11-24T21:00:00,2022-11-25T01:00:00,2022,GOLD#_H1_202201030100_202212302300.csv,GQ0750,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,
CAP-STRUCTURAL_SIGNATURE-007,STRUCTURAL_SIGNATURE,0e6dd03f42a7fe5c935960758661b3fd08698b5af9259c549a0827d907c3904a,47,2022-01-06T23:00:00,2022-12-30T01:00:00,2022,GOLD#_H1_202201030100_202212302300.csv,GQ0521|GQ0526|GQ0531|GQ0536|GQ0541|GQ0546|GQ0551|GQ0556|GQ0561|GQ0566|GQ0581|GQ0586|GQ0595|GQ0600|GQ0605|GQ0610|GQ0615|GQ0620|GQ0625|GQ0630|GQ0635|GQ0640|GQ0645|GQ0650|GQ0655|GQ0660|GQ0665|GQ0670|GQ0675|GQ0680|GQ0685|GQ0690|GQ0695|GQ0700|GQ0705|GQ0710|GQ0715|GQ0720|GQ0725|GQ0730|GQ0740|GQ0745|GQ0755|GQ0760|GQ0765|GQ0770|GQ0774,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,
CAP-STRUCTURAL_SIGNATURE-008,STRUCTURAL_SIGNATURE,14ce04bf5ac6908cf05a683640acd77c6c908129d01a1164feddde46c22b6784,4,2020-03-12T22:00:00,2020-10-30T00:00:00,2020,GOLD#_H1_202001020900_202012311800.csv,GQ0051|GQ0056|GQ0061|GQ0215,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,
CAP-STRUCTURAL_SIGNATURE-009,STRUCTURAL_SIGNATURE,1530499f948c8b9b13e4f44694deede77fccdd283aedebc184d2b84fb602a22b,3,2022-03-17T22:00:00,2022-11-04T00:00:00,2022,GOLD#_H1_202201030100_202212302300.csv,GQ0571|GQ0576|GQ0735,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,
CAP-STRUCTURAL_SIGNATURE-010,STRUCTURAL_SIGNATURE,1921f479b8fcee71b61f6ab56a9e632e31cafbdeece781c0dc498da0ea88e17d,48,2020-01-07T23:00:00,2020-12-30T01:00:00,2020,GOLD#_H1_202001020900_202012311800.csv,GQ0004|GQ0009|GQ0014|GQ0019|GQ0024|GQ0029|GQ0034|GQ0039|GQ0044|GQ0064|GQ0069|GQ0073|GQ0078|GQ0083|GQ0088|GQ0093|GQ0098|GQ0103|GQ0108|GQ0113|GQ0118|GQ0123|GQ0128|GQ0133|GQ0138|GQ0143|GQ0148|GQ0153|GQ0158|GQ0163|GQ0168|GQ0173|GQ0178|GQ0183|GQ0188|GQ0193|GQ0198|GQ0203|GQ0208|GQ0218|GQ0223|GQ0228|GQ0233|GQ0238|GQ0243|GQ0248|GQ0253|GQ0257,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,
