run_id,case_id,base_case_id,phase,symbol,timeframe,direction,volume,open_time,close_time,duration_minutes,open_price,close_price,sl,tp,profit,commission,swap,total_profit,exit_reason,magic_number,entry_comment,exit_comment,open_deal,close_deal
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.03,2023-01-03 06:00:00,2023-01-03 09:48:26,228.43,1.06733,1.06419,1.06733,2.0,-9.42,0.0,0.0,-9.42,SL,,FAT Trend Buy,sl 1.06419,2,3
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,sell,0.03,2023-01-04 07:00:00,2023-01-04 09:44:18,164.3,1.05721,1.05996,1.05721,4.0,-8.25,0.0,0.0,-8.25,SL,,FAT Trend Sell,sl 1.05995,4,5
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,sell,0.03,2023-01-04 10:00:00,2023-01-04 10:13:26,13.43,1.0593,1.06205,1.0593,6.0,-8.25,0.0,0.0,-8.25,SL,,FAT Trend Sell,sl 1.06205,6,7
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,sell,0.02,2023-01-04 21:00:00,2023-01-06 10:03:39,2223.65,1.05979,1.05288,1.05979,8.0,13.82,0.0,0.16,13.98,SL,,FAT Trend Sell,sl 1.05287,8,9
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,sell,0.02,2023-01-06 16:00:00,2023-01-06 17:00:37,60.62,1.05416,1.05369,1.05416,10.0,0.94,0.0,0.0,0.94,SL,,FAT Trend Sell,sl 1.05369,10,11
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.01,2023-01-06 19:00:00,2023-01-09 09:43:27,3763.45,1.06196,1.06692,1.06196,12.0,4.96,0.0,-0.08,4.88,SL,,FAT Breakout Buy,sl 1.06692,12,13
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.03,2023-01-10 10:00:00,2023-01-11 10:33:04,1473.07,1.07325,1.07341,1.07325,14.0,0.48,0.0,-0.25,0.23,SL,,FAT Trend Buy,sl 1.07344,14,15
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.03,2023-01-12 09:00:00,2023-01-12 15:28:40,388.67,1.07578,1.08053,1.07578,16.0,14.25,0.0,0.0,14.25,TP,,FAT Trend Buy,tp 1.08053,16,17
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.02,2023-01-13 17:00:00,2023-01-16 09:26:05,3866.08,1.08191,1.08337,1.08191,18.0,2.92,0.0,-0.17,2.75,SL,,FAT Trend Buy,sl 1.08337,18,19
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.03,2023-01-16 10:00:00,2023-01-16 10:56:40,56.67,1.08313,1.08027,1.08313,20.0,-8.58,0.0,0.0,-8.58,SL,,FAT Trend Buy,sl 1.08028,20,21
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.02,2023-01-17 17:00:00,2023-01-17 17:09:30,9.5,1.08641,1.08266,1.08641,22.0,-7.5,0.0,0.0,-7.5,SL,,FAT Breakout Buy,sl 1.08267,22,23
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.02,2023-01-18 10:00:00,2023-01-18 13:21:39,201.65,1.08264,1.08371,1.08264,24.0,2.14,0.0,0.0,2.14,SL,,FAT Trend Buy,sl 1.08371,24,25
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.02,2023-01-18 14:00:00,2023-01-18 17:39:38,219.63,1.08157,1.08372,1.08157,26.0,4.3,0.0,0.0,4.3,SL,,FAT Trend Buy,sl 1.08373,26,27
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.01,2023-01-18 19:00:00,2023-01-20 11:33:28,2433.47,1.08275,1.08324,1.08275,28.0,0.49,0.0,-0.33,0.16,SL,,FAT Trend Buy,sl 1.08330,28,29
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.03,2023-01-20 13:00:00,2023-01-20 15:50:12,170.2,1.08395,1.08103,1.08395,30.0,-8.76,0.0,0.0,-8.76,SL,,FAT Trend Buy,sl 1.08103,30,31
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.02,2023-01-23 14:00:00,2023-01-23 16:21:39,141.65,1.0882,1.08454,1.0882,32.0,-7.32,0.0,0.0,-7.32,SL,,FAT Trend Buy,sl 1.08454,32,33
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.02,2023-01-23 17:00:00,2023-01-24 10:30:26,1050.43,1.08624,1.08785,1.08624,34.0,3.22,0.0,-0.17,3.05,SL,,FAT Trend Buy,sl 1.08785,34,35
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.04,2023-01-24 11:00:00,2023-01-24 11:55:02,55.03,1.08755,1.08521,1.08755,36.0,-9.36,0.0,0.0,-9.36,SL,,FAT Trend Buy,sl 1.08521,36,37
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.04,2023-01-25 10:00:00,2023-01-25 13:23:42,203.7,1.08817,1.08587,1.08817,38.0,-9.2,0.0,0.0,-9.2,SL,,FAT Trend Buy,sl 1.08587,38,39
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.03,2023-01-26 16:00:00,2023-01-26 17:35:28,95.47,1.09033,1.08729,1.09033,40.0,-9.12,0.0,0.0,-9.12,SL,,FAT Trend Buy,sl 1.08732,40,41
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,train,EURUSD,H1,buy,0.02,2023-01-26 23:00:00,2023-01-27 16:12:30,1032.5,1.08929,1.08504,1.08929,42.0,-8.5,0.0,-0.17,-8.67,SL,,FAT Trend Buy,sl 1.08507,42,43
